enriched_publisher_domain	ctr
thekidneydietitian.org	0.0
thekrazycouponlady.com	0.03333333333333333
thelifetoday.com	0.038356164383561646
thepioneerwoman.com	0.12612612612612611
therighthairstyles.com	0.0
thesoccermomblog.com	0.0
thespruce.com	0.0
thesprucepets.com	0.03827751196172249
thesun.com	0.04542483660130719
time.com	0.11161731207289294
timeshighereducation.com	0.0
tipsandtricks.co	0.2620442319187089
today.com	0.09090909090909091
todayshomeowner.com	0.0
todaysnyc.com	0.0
todaysparent.com	0.12035010940919037
topdogtips.com	0.04968383017163505
toptiphacks.com	0.18181818181818182
townandcountrymag.com	0.0547945205479452
travel.usnews.com	0.0
travlerz.com	0.08540516271314227
tvshowsace.com	0.0
twentytwowords.com	0.04329608938547486
tyla.com	0.0
unilad.com	0.04395604395604396
unknown	0.12801059197523063
upgradedhome.com	0.1978319783197832
upstyledaily.com	0.0
usatoday.com	0.01572617946345976
usmagazine.com	0.0
usnews.com	0.008760628703942282
veryhealthy.life	0.0
verywellhealth.com	0.0
wackojaco.com	0.026415094339622643
weather.com	0.02485847895643613
weatherbug.com	0.08082631367829923
webmd.com	0.016407736207989854
whatmommydoes.com	0.01422475106685633
whowhatwear.com	0.0
womansday.com	0.0
womenshealthmag.com	0.05737109658678286
worldtravelling.com	0.013605442176870748
yourbump.com	0.02185792349726776
yourdiy.com	0.0
za.investing.com	0.032613518710249964
