url_hash	ctr
0003217dc009d2315e6cc80a61465069.d2s	0.375
0006c90182be26974a562b963fe14180.d2s	0.024390243902439025
00081b794dc1984f8d5985c482dddc32.d2s	0.0
000c07b6e45ce68f740fd49e5215c05d.d2s	0.10526315789473684
000dfa4582992734c56ae8a5ce7958b8.d2s	0.0
000ea5d21db1094ff5ad1a2c867f5520.d2s	0.1956521739130435
00121deb9f3803ee0de06c69a2d97a40.d2s	0.043478260869565216
00134cd2f0eab3c5bd8407898bd16aa3.d2s	0.0
00149b0e409a7fb31b1c1a08c1469f7f.d2s	0.2222222222222222
00181ddd69d311b96444954bcd7fa038.d2s	0.0
001f59f6ed6749ec7348aac006b61421.d2s	0.0
00279f41c9bf33f416f7b6763a76d52f.d2s	0.038461538461538464
0028e6adf24653e033a64ccf330a569c.d2s	0.05405405405405406
0029dec06126b40026e63d1537a9a69f.d2s	0.0
002cbd3cae04f683e8a88875df676b8a.d2s	0.0625
002f6c53ac5a1aa3525f3df6742b4951.d2s	0.17391304347826086
002ffe7951674deaa381d617a1fb3c54.d2s	0.0
00335f02ade76ebc4f08b255674e2b8f.d2s	0.0
00340e1b0938528cc7bc867ba22f0fee.d2s	0.0
0035b9e46defe62e7cf0fdb280a093fa.d2s	0.34375
0037bec7f1c143bd6b910fccaed08ff8.d2s	0.0
003ae79dad07641b5a621e44cd485ee5.d2s	0.75
003ba4fe3b7f1fbb091eb3ac33f62df4.d2s	0.32608695652173914
003cffdf6b5399414075edd92975cc23.d2s	0.0
0041e1dcee1cfb07187d8614d2175699.d2s	0.0
0048c9713bd1bdc718f969f2d4d6933a.d2s	0.0
00496d4b1e9b6e8fc6b3fdef65ea0192.d2s	0.14285714285714285
004ad6d6d79ad4f663edd8689dc54899.d2s	0.0
004d4b9ce9f774f6066afd1cbf7cb11d.d2s	0.03225806451612903
004fa537e5cf53814a6448dbd971cd43.d2s	0.2
0052098488232e085dae74ef9d4bb4b1.d2s	0.0
00560ba68d1c85d113038a32b6896130.d2s	0.0
005782b1cb67004dcf393fcdd66d3632.d2s	0.0
005930a19e94e667a3714b45f495c83a.d2s	0.0
0060a956ea9441ceae4fb62312cae62d.d2s	0.125
00615d97badf9dd5a03f48d058ac30b9.d2s	0.0
00638fe9d9953904b776aef6663f0d65.d2s	0.0
00670ed608a7272aa2a656965afc4c72.d2s	0.0
0067cd87af1f4e348279a036c9f04285.d2s	0.08333333333333333
006fc8fd6f69e94adc58c74915a0aeaf.d2s	0.28205128205128205
006fff43f67ab82b684aa12c76cf2238.d2s	0.0
0070f98a05335cc4b552e3ab74573893.d2s	0.125
0071e23d901112659fde36939c22fa88.d2s	0.037037037037037035
00726b1d916c0fa332f48727c6774201.d2s	0.0
0074444e2f4530bacb9847f0498dfe70.d2s	0.0
007457c389b5e14292955a1c3c341d53.d2s	0.0
0078229f2627040d6a2cb0ac2a37240b.d2s	0.16666666666666666
007aa7354125ef0c76c1e00b1423768c.d2s	0.0
007aa984dc9205c0490e3fa44aaaec05.d2s	0.0
007bfae237e5b68818d0c64c00305a4c.d2s	0.0
007cf5b7f742f30b2d41ddeb7cb5d601.d2s	0.0
007d79bb07de08de396050633e9dc3a9.d2s	0.14285714285714285
007e6e77caa9cac331bad66b099b5ba6.d2s	0.125
007f69e19e23c51fbe485f96ea44c5f0.d2s	0.0
00846a4203e842f735111d2939d2ddc3.d2s	0.0
00855ae9dff17bc2c1121c5df8b7cb6c.d2s	0.2
00872091bfdc5cfc044edc26c0c2bc6a.d2s	0.07692307692307693
008dc5d2042a8b6083ef3fbe42a49347.d2s	0.0
008fb1ce87d70a2cb1e99e234f3237d9.d2s	0.09090909090909091
0093d45fe2f095b8b51b1098769cc9e5.d2s	0.1702127659574468
0096304e43ae63049bf78d9a4f6212a0.d2s	0.5117466802860061
00994b41d93618f150ff9a5fa9591855.d2s	0.015625
009b53ea44f73d49290f57ef4203cef9.d2s	0.18181818181818182
009bbc604b8a17742f2db2de8a30b8c7.d2s	0.10144927536231885
009e8905c84f47bfc5be4d03d35b3ede.d2s	0.0
00a053f68181e36a20e497d36f695e9c.d2s	0.023809523809523808
00a05638a77a00961de0082d98f1eefa.d2s	0.07692307692307693
00a1dc8af50d818ff2fdc58bce1889c8.d2s	0.0
00a22fb9b7628ffdb742eb0a444d6452.d2s	0.0
00a29694a3ebf598bec24cf2afca1518.d2s	0.0
00a2a4d2cff4a1f1dc3ab702e19fafe4.d2s	0.0
00a79769faaedd49e4505fc9c0b97e5d.d2s	0.2765957446808511
00a7babc9f1d27b21641dda60ea55178.d2s	0.0
00a85a38b74877ee1bfc24bf3da94f8d.d2s	0.0
00a931f8774197d1ec6888bfd39dd9e2.d2s	0.1111111111111111
00aba965e7d5ef0a4dbadfcb981579b6.d2s	0.0
00b0107e57462f3c58b894e0b2db609b.d2s	0.7674418604651163
00b663b3d047e2d8ddf753388e2e26ca.d2s	0.0
00b8460ecbf30fce0b98fb22b41bc00b.d2s	0.0625
00b8d52e9962e5d4940fde7a6ea10913.d2s	0.16666666666666666
